bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;5 a 9 anos, Sexo masculino, alfabetizada;5 a 9 anos, Sexo feminino, alfabetizada;10 a 14 anos, Sexo masculino, alfabetizada;10 a 14 anos, Sexo feminino, alfabetizada;15 a 19 anos, Sexo masculino, alfabetizada;15 a 19 anos, Sexo feminino, alfabetizada;20 a 24 anos, Sexo masculino, alfabetizada;20 a 24 anos, Sexo feminino, alfabetizada;25 a 29 anos, Sexo masculino, alfabetizada;25 a 29 anos, Sexo feminino, alfabetizada;30 a 34 anos, Sexo masculino, alfabetizada;30 a 34 anos, Sexo feminino, alfabetizada;35 a 39 anos, Sexo masculino, alfabetizada;35 a 39 anos, Sexo feminino, alfabetizada;40 a 44 anos, Sexo masculino, alfabetizada;40 a 44 anos, Sexo feminino, alfabetizada;45 a 49 anos, Sexo masculino, alfabetizada;45 a 49 anos, Sexo feminino, alfabetizada;50 a 54 anos, Sexo masculino, alfabetizada;50 a 54 anos, Sexo feminino, alfabetizada;55 a 59 anos, Sexo masculino, alfabetizada;55 a 59 anos, Sexo feminino, alfabetizada;60 a 64 anos, Sexo masculino, alfabetizada;60 a 64 anos, Sexo feminino, alfabetizada;65 a 69 anos, Sexo masculino, alfabetizada;65 a 69 anos, Sexo feminino, alfabetizada;70 a 74 anos, Sexo masculino, alfabetizada;70 a 74 anos, Sexo feminino, alfabetizada;75 a 79 anos, Sexo masculino, alfabetizada;75 a 79 anos, Sexo feminino, alfabetizada;80 anos ou mais, Sexo masculino, alfabetizada;80 anos ou mais, Sexo feminino, alfabetizada
Barra de Guaratiba;152;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;110;107;183;170;186;192;191;185;153;183;175;180;178;153;152;153;128;116;109;112;80;74;61;55;49;41;34;33;22;14;10;15
Barros Filho;112;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;426;386;626;624;679;752;688;668;654;617;545;575;541;580;466;557;410;437;326;310;193;253;151;203;108;132;84;104;40;62;37;61
Benfica;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;414;434;707;726;821;783;837;901;763;797;709;738;646;781;651;698;509;664;428;542;317;368;267;361;199;309;155;253;98;166;88;147
Bento Ribeiro;89;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1206;1294;1970;1824;2208;2197;2124;2083;1771;1855;1638;1896;1732;2052;1633;1929;1403;1730;1187;1396;895;1150;778;1011;611;801;418;689;246;410;202;404
Bonsucesso;40;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;350;391;614;601;746;767;718;805;646;690;647;673;691;780;603;795;522;678;447;637;345;471;367;497;380;476;257;411;204;286;151;302
Botafogo;20;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;1462;1405;2199;2196;2614;2671;3041;3340;2738;3212;2678;3243;3080;3613;2767;3492;2468;3389;2119;2851;1618;2322;1358;2140;1211;1966;1072;1875;687;1426;656;1552
Brás de Pina;45;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;1510;1426;2177;2105;2469;2499;2377;2551;2174;2332;2139;2314;2130;2532;2037;2421;1767;2129;1452;1801;1112;1395;1008;1323;840;1164;585;843;361;485;242;445
Cachambi;65;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;844;846;1379;1355;1610;1644;1565;1627;1394;1618;1278;1517;1482;1796;1451;1912;1359;1687;1076;1494;820;1136;807;1109;650;1022;541;863;338;594;265;624
Cacuia;93;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;246;239;343;341;384;436;429;444;403;425;409;413;400;412;326;382;319;331;210;279;204;203;160;196;119;126;79;111;62;70;34;61
Caju;4;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;392;420;684;736;753;806;812;830;692;751;659;685;551;624;444;480;367;451;332;328;200;234;180;217;145;161;110;133;56;99;61;159
Camorim;129;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;22;19;39;34;29;43;47;37;33;24;27;43;35;36;27;23;21;13;10;6;8;7;3;3;5;6;;4;2;;3;4
Campinho;78;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;211;199;309;316;364;417;334;408;314;367;334;334;328;388;298;344;265;334;219;280;170;281;156;234;136;215;131;173;77;119;54;106
Campo dos Afonsos;136;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;64;59;92;90;92;74;40;50;17;24;43;75;92;113;148;107;62;37;20;16;5;14;4;4;4;12;4;9;5;5;5;5
Campo Grande;144;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;7604;7839;12529;12417;13802;13721;12864;13541;11625;12411;10834;11856;10714;12165;10115;11684;8844;10119;7070;7815;4695;5393;3747;4352;2796;3458;1933;2626;1153;1502;835;1326
Cascadura;82;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;760;702;1196;1184;1362;1463;1287;1461;1175;1279;1055;1209;1085;1360;1095;1312;963;1189;770;944;648;860;568;773;508;720;407;581;224;349;191;370
Catete;18;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;342;366;551;578;730;695;822;844;752;835;719;832;752;934;727;892;637;886;533;750;436;670;412;651;365;651;304;562;215;437;188;442
Catumbi;6;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;312;276;539;492;509;562;526;629;527;611;423;484;417;514;368;429;317;385;261;305;225;256;178;255;155;209;131;186;67;114;41;102
Cavalcanti;80;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;365;338;597;619;694;657;635;674;573;622;556;635;561;637;504;596;456;524;371;417;301;355;268;343;207;272;133;230;82;136;55;117
Centro;5;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;554;545;953;909;1299;1312;1558;1579;1472;1572;1430;1555;1510;1560;1450;1694;1251;1608;1058;1373;908;1172;851;1108;781;1002;644;887;383;559;301;615
Cidade de Deus;118;CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;4.1;Área de Planejamento 4;4;977;906;1712;1634;1691;1804;1561;1707;1426;1686;1472;1650;1409;1613;1123;1299;761;879;594;774;471;661;440;656;372;474;223;277;78;143;56;97
Cidade Nova;8;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;107;109;185;161;227;211;260;222;209;180;160;201;179;183;138;184;150;165;116;140;99;130;74;113;69;92;58;81;37;49;26;43
Cidade Universitária;105;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;52;48;71;78;73;92;80;83;86;101;98;80;62;76;62;50;35;36;32;29;30;13;18;16;14;21;6;7;4;4;1;2
Cocotá;96;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;102;99;176;164;191;236;173;198;173;199;158;191;153;207;184;223;169;196;142;172;85;122;95;108;74;122;66;85;42;78;28;80
Coelho Neto;110;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;744;755;1186;1145;1291;1374;1291;1389;1254;1400;1172;1279;1138;1333;976;1208;908;1080;810;1025;610;891;602;751;447;555;279;390;169;230;101;190
Colégio;77;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;660;722;1118;1205;1224;1392;1125;1177;1020;1176;905;1023;863;1015;869;994;672;771;545;641;429;465;334;397;240;319;176;243;98;138;89;152
Complexo do Alemão;156;COMPLEXO DO ALEMÃO;29;XXIX Complexo do Alemão;Inhaúma;3.4;Área de Planejamento 3;3;1561;1630;2845;2886;3079;3222;3007;3153;2691;2633;2366;2501;2069;2259;1794;1834;1375;1442;1061;1037;643;695;482;597;355;401;238;260;112;141;85;106
Copacabana;24;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;1862;1894;2870;2879;4058;4431;5356;6097;4983;5680;4428;5123;4736;5605;4316;5741;4008;5955;3869;5917;3301;5345;3183;5439;3092;5360;3014;5514;2149;4368;2132;5588
Cordovil;46;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;1154;1162;1722;1760;1932;2131;1893;1945;1682;1906;1646;1813;1554;1899;1563;1784;1265;1515;1109;1352;820;1019;726;999;617;769;403;582;196;352;136;269
Cosme Velho;19;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;133;152;278;244;293;302;310;354;270;262;214;260;230;294;283;303;198;292;205;261;146;148;109;128;101;117;60;111;41;68;47;94
Cosmos;147;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;1773;1813;2979;3026;3104;3054;2800;2871;2675;2882;2604;2793;2538;2637;2003;2275;1665;1732;1179;1386;873;996;764;811;580;616;329;418;180;223;124;172
Costa Barros;113;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;702;769;1168;1194;1265;1273;1111;1210;960;1023;931;1050;881;927;759;850;601;662;468;484;291;319;225;262;153;194;102;139;56;64;39;49
Curicica;119;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;620;585;981;986;1060;1081;1060;1110;952;1046;938;1068;985;1101;867;1005;656;748;495;589;404;475;356;410;314;357;228;200;96;128;59;98
Del Castilho;53;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;369;310;474;491;578;557;575;587;515;583;423;516;453;551;472;549;427;536;355;491;279;390;262;360;230;337;180;296;120;214;111;211
Deodoro;134;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;291;321;462;480;510;563;449;517;442;513;445;465;380;401;370;426;330;459;298;350;202;238;157;159;98;135;40;120;39;92;29;64
Encantado;68;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;378;338;561;493;570;609;591;645;567;584;527;577;586;633;519;673;496;535;371;457;272;417;303;381;247;345;207;285;95;189;97;196
Engenheiro Leal;81;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;172;151;266;270;265;285;247;248;254;255;210;221;189;230;171;219;167;187;135;169;99;122;81;108;87;99;45;74;23;48;23;49
Engenho da Rainha;55;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;639;616;986;1038;1202;1175;1145;1166;993;1133;892;1056;916;1132;850;1110;839;984;627;845;517;652;456;597;381;560;281;397;146;220;91;171
Engenho de Dentro;66;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;993;989;1518;1613;1949;1884;1919;2015;1574;1744;1508;1710;1643;1890;1582;1960;1379;1839;1142;1519;856;1150;826;1159;719;1060;595;906;367;637;299;639
Engenho Novo;61;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;955;990;1598;1621;1682;1861;1735;1952;1620;1899;1459;1748;1650;1855;1388;1804;1285;1617;969;1305;754;1014;628;948;549;851;471;763;281;499;218;504
Estácio;9;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;426;397;644;645;793;745;1275;824;1258;722;1084;699;1021;732;867;755;607;619;466;469;347;394;266;345;236;310;171;245;99;155;80;144
Flamengo;15;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;688;685;1032;1041;1569;1635;1913;2307;1812;2128;1638;1838;1784;2150;1625;2197;1520;2235;1472;2221;1286;1899;1120;2006;1176;1957;1097;1850;766;1462;744;1775
Freguesia (Ilha);98;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;1394;1326;2069;1985;2288;2242;2075;2164;1865;2312;1855;2300;2139;2562;2011;2390;1682;2012;1361;1675;969;1349;856;1064;701;853;486;723;280;458;250;448
Freguesia (Jacarepaguá);120;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;437;464;677;675;826;835;777;844;734;811;670;755;693;807;591;698;498;604;413;517;285;356;242;308;190;252;165;217;88;118;80;124
Galeão;104;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;585;562;976;1001;1082;1069;1006;1076;848;891;771;876;881;1028;929;856;586;563;378;377;224;237;161;166;99;147;95;121;43;62;58;90
Gamboa;2;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;276;245;423;406;462;458;513;487;433;433;320;378;381;383;304;395;265;307;222;230;152;151;127;159;100;166;79;128;54;76;31;57
Gardênia Azul;117;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;443;459;785;844;861;981;1001;976;851;857;756;828;726;761;558;594;434;477;306;303;198;191;137;143;105;106;71;83;28;36;21;33
Gávea;29;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;317;320;510;502;617;714;764;838;728;717;580;668;611;725;610;793;550;817;578;713;412;517;331;376;246;317;165;308;135;236;130;300
Glória;16;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;128;166;239;241;312;303;382;369;339;372;329;424;427;435;379;483;330;440;256;395;205;306;231;348;170;316;158;305;105;212;88;246
Grajaú;38;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;775;772;1268;1217;1466;1510;1435;1582;1232;1489;1196;1453;1333;1532;1359;1680;1186;1642;1013;1353;769;989;717;917;613;918;529;883;328;625;331;831
Grumari;133;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;3;2;8;10;7;13;5;7;5;5;8;2;1;2;3;;2;;1;2;1;;;;;;;;;;;1
Guadalupe;106;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;1217;1116;1778;1738;1989;2046;1903;1963;1704;1926;1563;1724;1592;1822;1361;1783;1380;1755;1193;1545;860;1103;802;960;555;749;392;605;262;428;188;364
Guaratiba;151;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;2138;2303;3683;3746;3797;3909;3823;4072;3742;3750;3277;3474;3003;3021;2485;2589;2109;2011;1538;1503;1096;1038;889;769;612;596;400;392;204;220;143;193
Higienópolis;50;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;335;380;585;540;654;675;645;696;633;686;563;642;639;699;573;775;517;660;425;556;315;395;295;409;284;370;217;300;112;200;91;190
Honório Gurgel;87;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;598;592;879;849;955;948;884;960;825;921;806;881;766;896;687;849;626;746;555;616;411;477;322;423;248;342;180;274;119;170;91;125
Humaitá;21;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;248;270;374;380;507;536;595;632;546;621;495;610;573;735;563;742;490;711;466;640;336;443;283;425;253;372;187;338;127;266;131;370
Imperial de São Cristóvão;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;826;814;1275;1363;1536;1562;1961;1540;1709;1464;1509;1439;1432;1508;1320;1423;1118;1242;890;1072;698;861;623;806;523;751;428;645;258;391;195;409
Inhaúma;54;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;989;1013;1612;1573;1809;1864;1772;1895;1600;1695;1479;1646;1445;1724;1367;1649;1214;1494;1072;1236;800;958;704;800;557;758;390;598;245;363;180;293
Inhoaíba;146;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;1622;1641;2869;2795;2756;2796;2497;2630;2264;2512;2346;2481;2177;2355;1844;1957;1411;1570;1102;1134;714;785;608;658;395;465;243;318;121;140;83;132
Ipanema;25;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;687;660;968;988;1405;1465;1754;1976;1614;1875;1373;1713;1546;1830;1398;1856;1409;1965;1393;1850;1095;1519;968;1445;909;1503;947;1524;734;1202;704;1510
Irajá;76;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;2426;2392;3654;3520;4301;4249;3951;4257;3576;4027;3383;3933;3629;4310;3536;4433;3158;4155;2805;3521;2034;2621;1776;2410;1488;2126;1086;1758;652;979;496;914
Itanhangá;127;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;502;485;868;849;899;1058;1193;1249;1185;1164;940;944;779;851;639;583;441;488;346;327;237;207;148;122;91;111;72;61;29;48;28;48
Jacaré;51;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;137;174;249;290;333;316;331;329;269;274;217;248;230;282;217;309;206;251;192;227;124;147;126;147;103;152;88;114;50;80;37;77
Jacarepaguá;115;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;2306;2429;3994;4173;4346;4717;5407;5140;4782;4668;3975;4244;3525;3816;2890;3157;2290;2387;1658;1640;988;1046;747;806;501;571;304;384;150;232;124;207
Jacarezinho;155;JACAREZINHO;28;XXVIII Jacarezinho;Méier;3.2;Área de Planejamento 3;3;966;1014;1530;1593;1649;1808;1625;1691;1482;1582;1289;1402;1215;1391;1132;1182;867;1016;720;751;448;500;372;436;284;340;175;216;77;122;52;76
Jardim América;49;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;596;620;939;989;1119;1134;1020;1051;929;1019;914;1079;1066;1162;944;1133;832;875;562;729;396;516;359;520;386;528;338;377;155;200;102;157
Jardim Botânico;28;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;405;355;551;543;673;683;751;794;651;784;631;740;719;888;779;858;651;912;584;773;499;556;361;511;329;404;252;415;168;302;185;351
Jardim Carioca;100;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;592;621;927;1010;1119;1108;1099;1184;1022;1059;984;1086;864;1066;839;1059;748;897;650;679;410;489;359;416;290;336;213;279;108;153;87;146
Jardim Guanabara;99;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;643;670;939;919;1281;1235;1296;1391;1054;1250;937;1098;1042;1250;1038;1274;1046;1329;1008;1120;721;852;659;715;538;639;399;489;218;300;164;302
Jardim Sulacap;137;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;305;292;427;408;499;434;382;447;352;445;440;518;518;582;457;492;384;407;302;302;154;246;203;224;152;197;126;163;65;101;55;73
Joá;126;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;24;12;26;27;41;47;53;59;47;45;26;40;33;34;30;40;42;37;47;33;23;22;27;21;15;6;16;8;4;4;3;7
Lagoa;27;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;342;343;540;538;644;675;755;843;602;739;536;752;657;883;729;853;687;945;730;843;541;614;400;406;293;337;217;321;156;227;132;269
Laranjeiras;17;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;833;767;1251;1260;1714;1721;1766;1936;1636;1840;1351;1713;1645;2010;1564;2084;1457;2105;1265;1871;1006;1389;874;1359;767;1247;678;1255;474;961;460;1199
Leblon;26;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;698;729;1068;1061;1455;1552;1858;1983;1582;1835;1330;1627;1471;1841;1452;1947;1469;2000;1454;1904;1224;1650;1057;1467;978;1407;871;1390;636;1086;583;1310
Leme;23;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;224;208;329;354;397;452;501;581;485;529;373;493;520;581;424;550;419;577;395;602;328;486;305;436;247;412;254;415;178;386;181;481
Lins de Vasconcelos;62;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;838;813;1254;1324;1458;1490;1417;1503;1250;1375;1117;1374;1157;1432;1179;1381;952;1261;740;1005;552;773;539;696;440;669;346;569;237;389;174;405
Madureira;83;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1128;1181;1903;1797;2114;2175;1989;2180;1777;1958;1604;1849;1749;2072;1764;2127;1502;1883;1220;1609;929;1215;902;1212;733;1180;555;892;350;562;241;546
Magalhães Bastos;138;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;640;610;1125;1016;1106;1107;1104;996;925;994;861;1030;930;1019;844;972;678;843;591;605;407;507;327;420;251;346;156;257;119;161;93;138
Mangueira;11;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;336;338;552;645;642;726;587;627;518;530;481;541;395;519;421;435;299;375;240;278;162;185;133;152;98;133;69;60;32;42;28;47
Manguinhos;39;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;739;748;1379;1386;1354;1560;1429;1552;1303;1350;1199;1252;1000;1112;920;962;644;745;465;486;303;381;234;270;157;202;110;154;47;78;42;57
Maracanã;35;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;533;463;804;775;1050;1024;1048;1127;840;1010;905;989;1012;1187;972;1291;920;1202;754;979;571;779;498;763;478;750;383;714;297;534;276;566
Maré;157;COMPLEXO DA MARE;30;XXX Maré;Ramos;3.1;Área de Planejamento 3;3;2726;2701;4672;4895;4882;5204;5803;5756;5221;5330;4559;4665;3896;4137;3173;3357;2481;2452;1683;1811;1091;1116;855;995;585;656;333;377;194;211;84;162
Marechal Hermes;90;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1163;1147;1778;1693;2011;1914;1835;1881;1635;1789;1485;1815;1663;1970;1679;1989;1348;1716;1183;1497;868;1134;858;1147;720;986;493;746;307;439;213;457
Maria da Graça;52;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;178;190;280;229;307;284;302;348;241;308;277;341;318;338;288;342;255;351;263;277;173;212;172;220;137;206;125;178;71;127;69;114
Méier;63;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;949;889;1544;1545;1950;1949;1919;2064;1546;1682;1307;1687;1681;2212;1777;2326;1767;2380;1400;2013;1119;1622;1103;1629;1030;1626;873;1465;562;1027;493;1084
Moneró;102;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;113;137;167;168;240;244;272;282;207;250;219;224;218;283;181;233;182;264;181;242;161;195;173;202;141;144;83;109;38;73;40;83
Olaria;42;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;1413;1340;2159;2069;2515;2451;2495;2662;2225;2529;2158;2388;2126;2465;2029;2435;1721;2267;1587;2080;1389;1786;1231;1575;961;1294;713;1046;429;744;332;627
Osvaldo Cruz;88;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;863;821;1314;1242;1511;1490;1379;1520;1263;1419;1173;1339;1293;1473;1283;1554;1048;1379;951;1140;698;930;627;917;550;749;347;579;216;369;162;333
