bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;5 a 9 anos, Sexo masculino, alfabetizada;5 a 9 anos, Sexo feminino, alfabetizada;10 a 14 anos, Sexo masculino, alfabetizada;10 a 14 anos, Sexo feminino, alfabetizada;15 a 19 anos, Sexo masculino, alfabetizada;15 a 19 anos, Sexo feminino, alfabetizada;20 a 24 anos, Sexo masculino, alfabetizada;20 a 24 anos, Sexo feminino, alfabetizada;25 a 29 anos, Sexo masculino, alfabetizada;25 a 29 anos, Sexo feminino, alfabetizada;30 a 34 anos, Sexo masculino, alfabetizada;30 a 34 anos, Sexo feminino, alfabetizada;35 a 39 anos, Sexo masculino, alfabetizada;35 a 39 anos, Sexo feminino, alfabetizada;40 a 44 anos, Sexo masculino, alfabetizada;40 a 44 anos, Sexo feminino, alfabetizada;45 a 49 anos, Sexo masculino, alfabetizada;45 a 49 anos, Sexo feminino, alfabetizada;50 a 54 anos, Sexo masculino, alfabetizada;50 a 54 anos, Sexo feminino, alfabetizada;55 a 59 anos, Sexo masculino, alfabetizada;55 a 59 anos, Sexo feminino, alfabetizada;60 a 64 anos, Sexo masculino, alfabetizada;60 a 64 anos, Sexo feminino, alfabetizada;65 a 69 anos, Sexo masculino, alfabetizada;65 a 69 anos, Sexo feminino, alfabetizada;70 a 74 anos, Sexo masculino, alfabetizada;70 a 74 anos, Sexo feminino, alfabetizada;75 a 79 anos, Sexo masculino, alfabetizada;75 a 79 anos, Sexo feminino, alfabetizada;80 anos ou mais, Sexo masculino, alfabetizada;80 anos ou mais, Sexo feminino, alfabetizada
Abolição;70;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;263;217;410;419;508;489;466;435;382;475;376;445;416;555;468;573;382;503;367;443;244;301;226;342;223;339;175;266;90;159;87;140
Acari;111;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;681;630;1099;1134;1202;1353;1204;1303;999;1096;872;988;779;807;667;711;497;533;359;401;205;224;188;189;100;149;71;106;31;61;31;47
Água Santa;67;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;158;138;274;226;348;274;519;259;431;228;335;242;299;276;289;265;209;240;187;193;124;151;117;141;98;121;68;103;34;51;24;59
Alto da Boa Vista;34;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;180;190;270;253;316;325;361;354;280;329;281;283;301;343;305;362;279;302;216;231;135;181;137;152;124;181;117;109;61;101;51;125
Anchieta;107;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;1430;1429;2361;2265;2483;2517;2319;2425;1962;2156;1889;2122;1938;2205;1778;2099;1567;1747;1145;1312;781;930;682;825;524;652;349;484;205;281;135;216
Andaraí;37;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;813;793;1231;1196;1453;1411;1353;1568;1229;1479;1196;1441;1366;1649;1345;1750;1219;1716;995;1322;762;1093;697;994;659;1018;532;890;302;632;309;690
Anil;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;509;493;805;708;956;1003;921;1000;827;894;724;850;784;860;724;932;779;869;626;721;436;483;380;416;256;318;186;216;108;168;82;150
Bancários;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;283;287;443;413;565;583;566;601;471;508;449;453;453;488;367;466;341;415;295;329;211;253;172;203;138;131;73;127;58;103;56;84
Bangu;141;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;6000;6246;9865;9675;11233;10907;11670;10476;10343;9780;9363;9369;9272;9983;8493;9144;6907;8026;5318;6211;3830;4438;3035;3900;2398;3083;1634;2385;890;1276;645;1073
Barra da Tijuca;128;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1953;1944;2905;2828;3831;3806;4015;4531;3376;4041;2974;3730;3423;4074;3523;4154;3670;4145;3331;3571;2512;2437;1831;1734;1326;1414;949;1125;563;757;403;877
