bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoas alfabetizadas, Sexo masculino, 15 a 19 anos;Pessoas alfabetizadas, Sexo feminino, 15 a 19 anos;Pessoas alfabetizadas, Sexo masculino, 20 a 24 anos;Pessoas alfabetizadas, Sexo feminino, 20 a 24 anos;Pessoas alfabetizadas, Sexo masculino, 25 a 29 anos;Pessoas alfabetizadas, Sexo feminino, 25 a 29 anos;Pessoas alfabetizadas, Sexo masculino, 30 a 34 anos;Pessoas alfabetizadas, Sexo feminino, 30 a 34 anos;Pessoas alfabetizadas, Sexo masculino, 35 a 39 anos;Pessoas alfabetizadas, Sexo feminino, 35 a 39 anos;Pessoas alfabetizadas, Sexo masculino, 40 a 44 anos;Pessoas alfabetizadas, Sexo feminino, 40 a 44 anos;Pessoas alfabetizadas, Sexo masculino, 45 a 49 anos;Pessoas alfabetizadas, Sexo feminino, 45 a 49 anos;Pessoas alfabetizadas, Sexo masculino, 50 a 54 anos;Pessoas alfabetizadas, Sexo feminino, 50 a 54 anos;Pessoas alfabetizadas, Sexo masculino, 55 a 59 anos;Pessoas alfabetizadas, Sexo feminino, 55 a 59 anos;Pessoas alfabetizadas, Sexo masculino, 60 a 64 anos;Pessoas alfabetizadas, Sexo feminino, 60 a 64 anos;Pessoas alfabetizadas, Sexo masculino, 65 a 69 anos;Pessoas alfabetizadas, Sexo feminino, 65 a 69 anos;Pessoas alfabetizadas, Sexo masculino, 70 a 79 anos;Pessoas alfabetizadas, Sexo feminino, 70 a 79 anos;Pessoas alfabetizadas, Sexo masculino, 80 anos ou mais;Pessoas alfabetizadas, Sexo feminino, 80 anos ou mais
Praça da Bandeira;32;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;149;144;194;223;260;268;249;296;297;321;235;280;186;265;208;254;218;299;201;275;175;258;207;417;133;298
Praça Seca;124;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1950;1922;2115;2248;2216;2386;1994;2232;2094;2430;2216;2687;1907;2275;1761;2226;1730;2142;1544;2021;1190;1799;1320;2348;567;1370
Praia da Bandeira;95;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;143;123;171;149;175;184;221;190;182;228;228;238;160;209;157;189;137;187;138;187;98;151;129;254;61;112
Quintino Bocaiúva;79;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;639;625;752;780;763;780;811;892;792;958;887;1006;760;951;748;950;760;968;757;997;574;880;674;1165;265;658
Ramos;41;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;949;962;1192;1144;1134;1188;1036;1165;1135;1286;1178;1371;1035;1308;1072;1283;967;1319;994;1282;792;1158;919;1469;429;986
Realengo;139;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;5350;5305;5804;6064;5812;6193;5179;5960;5617;6438;5858;6670;4980;5963;4760;5933;4643;5873;4239;5552;3352;4647;3615;5713;1158;2829
Recreio dos Bandeirantes;132;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;3682;3776;4417;4917;4506;5255;5271;6071;6040;6740;6702;7348;5447;6005;4776;4877;3950;4417;3486;3989;2877;3453;3284;4147;1032;2034
Riachuelo;59;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;256;209;292;293;316;322;332;362;323;381;388;433;334;430;305;401;297;461;324;451;266;460;359;531;134;424
Ribeira;91;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;88;72;102;106;97;98;103;134;125;122;139;150;106;124;95;148;124;146;97;139;82;128;117;188;60;121
Ricardo de Albuquerque;109;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;946;936;996;1083;959;1019;853;1008;869;1031;966;1153;865;1017;882;907;751;931;719;884;517;681;570;821;187;400
Rio Comprido;7;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;1039;1133;1419;1544;1399;1643;1486;1646;1501;1760;1530;1797;1153;1497;1114;1386;1063;1342;924;1256;709;1075;844;1322;316;740
Rocha;58;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;566;570;594;636;572;643;564;643;590;643;537;662;430;531;393;487;343;475;338;472;234;357;288;472;104;274
Rocha Miranda;86;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1158;1070;1223;1248;1192;1205;1079;1271;1189;1391;1217;1469;1027;1309;1065;1366;1079;1312;946;1369;821;1212;914;1486;315;813
Rocinha;154;ROCINHA;27;XXVII Rocinha;Zona Sul;2.1;Área de Planejamento 2;2;2482;2558;3453;3491;3605;3546;3364;3306;3024;3187;2841;2984;2023;2108;1635;1778;1263;1504;920;1189;590;795;503;711;60;136
Sampaio;60;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;299;292;355;335;312;337;265;320;301;349;309;320;257;344;225;278;204;263;190;239;166;270;185;281;62;158
Santa Cruz;149;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;9590;9117;9927;10158;9410;10290;8479;9568;8476;9867;8931;10145;7407;8786;6731;7755;5541;6719;4550;6138;3516;4773;3726;5282;823;1898
Santa Teresa;14;SANTA TEREZA;23;XXIII Santa Teresa;Centro;1.1;Área de Planejamento 1;1;905;868;1196;1260;1431;1589;1578;1633;1445;1487;1357;1530;1202;1365;1077;1210;1002;1205;934;1181;656;970;771;1200;233;593
Santíssimo;143;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;1533;1457;1768;1805;1669;1798;1587;1735;1692;1984;1823;2160;1622;1869;1546;1812;1371;1583;1112;1443;925;1116;980;1265;273;521
Santo Cristo;3;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;342;339;398;446;378;378;338;355;351;384;350;388;308;364;269;326;250;288;219;305;190;269;221;288;49;153
São Conrado;31;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;225;210;264;259;286;285;291;320;320;324;342;413;319;369;272;327;286;387;309;402;266;342;489;578;237;317
São Francisco Xavier;57;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;156;162;204;227;256;249;226;253;258;274;257;294;190;233;196;212;172;219;185;215;130;186;141;205;42;141
Saúde;1;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;36;43;56;45;62;71;60;70;77;62;64;76;51;57;46;34;50;64;44;59;46;50;45;52;18;23
Senador Camará;142;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;3410;3428;3932;4058;3255;3800;3239;3756;3413;4285;3736;4391;3262;3788;3146;3564;2650;3243;2254;2846;1841;2382;1782;2634;523;986
Senador Vasconcelos;145;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;1019;1023;1310;1225;1025;1135;1117;1175;1058;1208;1333;1432;1110;1213;1112;1308;882;1111;900;1100;597;845;725;1071;197;420
Sepetiba;150;SANTA CRUZ;19;XIX Santa Cruz;Santa Cruz;5.3;Área de Planejamento 5;5;2227;2118;2288;2291;1955;2136;1859;2085;1888;2147;1977;2273;1647;1961;1567;1880;1409;1801;1274;1637;1068;1332;1148;1523;304;606
Tanque;123;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1047;1074;1253;1239;1283;1368;1271;1407;1343;1510;1316;1591;1039;1329;1050;1312;980;1256;908;1211;717;1056;809;1348;284;696
Taquara;122;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;2946;2839;3376;3417;3430;3798;3561;4203;3922;4705;4221;4883;3394;4044;3130;3877;3033;3859;2756;3812;2144;3354;2664;4367;975;2186
Tauá;101;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;815;798;1014;1040;947;1001;846;990;900;1097;1023;1104;843;1013;685;916;700;829;593;804;496;778;552;844;199;523
Tijuca;33;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;3029;3047;3828;4057;4561;4981;4668;5075;4634;5345;4824;5771;4125;5200;3942;5213;4165;5652;4085;5798;3469;5497;4669;8489;2935;6846
Todos os Santos;64;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;478;459;590;585;662;728;750;819;895;1024;904;1047;725;857;672;835;682;956;677;973;515;904;703;1242;368;778
Tomás Coelho;56;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;637;655;699;721;706;836;693;792;756;851;733;856;653;715;562;695;511;678;395;569;352;542;417;691;151;300
Turiaçú;85;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;350;343;393;410;372;427;360;411;345;428;409;448;369;451;320;428;321;421;312;435;225;327;269;435;106;209
Urca;22;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;105;112;110;117;96;155;114;173;233;265;267;255;223;221;144;185;159;167;144;162;107;142;160;267;109;198
Vargem Grande;131;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;741;630;778;784;702;765;745;869;819;909;888;920;742;856;706;745;545;602;496;505;378;393;337;387;95;274
Vargem Pequena;130;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1075;980;1160;1173;1148;1265;1129;1302;1228;1417;1195;1324;1017;1164;890;980;704;865;565;669;378;495;352;548;108;219
Vasco da Gama;158;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;425;448;576;560;570;569;584;645;525;556;499;621;410;551;394;508;377;441;319;392;232;302;264;409;85;219
Vaz Lobo;84;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;328;314;340;409;368;364;345;411;385;465;415;477;357;368;326;396;289;374;274;358;221;371;268;436;96;251
Vicente de Carvalho;73;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;628;721;732;764;696;743;718;764;692;807;801;839;679;825;638;753;590;701;547;702;440;564;478;746;167;394
Vidigal;30;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;523;558;673;690;724;661;634;624;602;565;513;631;431;531;352;489;334;390;268;315;185;271;219;279;53;97
Vigário Geral;48;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;1193;1210;1380;1400;1251;1333;1112;1282;1066;1272;1118;1306;930;1148;913;1192;876;1077;804;1018;646;841;628;932;147;422
Vila da Penha;74;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;587;551;666;622;613;685;666;797;699;847;794;1014;739;937;780;915;781;1035;744;1020;610;936;788;1399;394;857
Vila Isabel;36;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;1514;1496;1860;1921;2165;2300;2244;2523;2315;2621;2237;2787;1884;2357;1756;2282;1828;2643;1833;2627;1619;2537;2034;3654;996;2564
Vila Kennedy;162;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;769;777;788;907;825;874;723;821;698;771;674;822;614;766;627;743;628;817;533;679;388;506;352;597;127;300
Vila Kosmos;72;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;387;458;478;527;485;560;464;503;485;561;488;596;411;540;451;537;434;653;507;622;415;561;364;631;154;404
Vila Militar;135;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;402;393;426;424;478;512;617;594;515;552;451;503;436;494;376;413;289;376;249;363;180;352;299;435;72;150
Vila Valqueire;125;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;906;945;1120;1016;1034;1094;981;1148;1098;1276;1197;1434;1119;1345;1046;1293;1083;1411;1065;1347;833;1162;987;1509;429;893
Vista Alegre;75;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;429;420;491;477;554;605;556;668;563;682;655;708;505;619;550;606;542;695;485;677;432;612;478;762;174;500
Zumbi;92;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;41;38;41;48;59;51;37;55;69;81;80;88;48;63;59;69;55;80;66;75;45;64;64;97;27;59
