bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;Pessoas alfabetizadas, Sexo masculino, 15 a 19 anos;Pessoas alfabetizadas, Sexo feminino, 15 a 19 anos;Pessoas alfabetizadas, Sexo masculino, 20 a 24 anos;Pessoas alfabetizadas, Sexo feminino, 20 a 24 anos;Pessoas alfabetizadas, Sexo masculino, 25 a 29 anos;Pessoas alfabetizadas, Sexo feminino, 25 a 29 anos;Pessoas alfabetizadas, Sexo masculino, 30 a 34 anos;Pessoas alfabetizadas, Sexo feminino, 30 a 34 anos;Pessoas alfabetizadas, Sexo masculino, 35 a 39 anos;Pessoas alfabetizadas, Sexo feminino, 35 a 39 anos;Pessoas alfabetizadas, Sexo masculino, 40 a 44 anos;Pessoas alfabetizadas, Sexo feminino, 40 a 44 anos;Pessoas alfabetizadas, Sexo masculino, 45 a 49 anos;Pessoas alfabetizadas, Sexo feminino, 45 a 49 anos;Pessoas alfabetizadas, Sexo masculino, 50 a 54 anos;Pessoas alfabetizadas, Sexo feminino, 50 a 54 anos;Pessoas alfabetizadas, Sexo masculino, 55 a 59 anos;Pessoas alfabetizadas, Sexo feminino, 55 a 59 anos;Pessoas alfabetizadas, Sexo masculino, 60 a 64 anos;Pessoas alfabetizadas, Sexo feminino, 60 a 64 anos;Pessoas alfabetizadas, Sexo masculino, 65 a 69 anos;Pessoas alfabetizadas, Sexo feminino, 65 a 69 anos;Pessoas alfabetizadas, Sexo masculino, 70 a 79 anos;Pessoas alfabetizadas, Sexo feminino, 70 a 79 anos;Pessoas alfabetizadas, Sexo masculino, 80 anos ou mais;Pessoas alfabetizadas, Sexo feminino, 80 anos ou mais
Grajaú;38;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;751;732;892;906;933;1011;981;1125;1108;1251;1222;1440;942;1222;925;1236;974;1304;945;1367;816;1241;1028;1780;578;1446
Grumari;133;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;9;6;8;9;6;4;6;12;9;10;5;5;5;3;3;5;5;0;0;0;0;0;0;0;0;0
Guadalupe;106;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;1225;1263;1461;1384;1314;1511;1292;1517;1309;1625;1442;1710;1272;1480;1139;1504;1148;1427;1014;1312;848;1283;1092;1804;396;807
Guaratiba;151;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;5745;5786;6248;6248;5710;6057;5359;5917;5476;6327;5817;6718;4998;5518;4256;4911;3590;4080;2749;3252;1938;2490;1947;2664;401;923
Higienópolis;50;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;397;337;408;438;464;489;434;562;553;608;542;631;488;532;430;529;398;583;383;546;381;506;412;610;153;359
Honório Gurgel;87;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;567;610;616;651;637;668;532;638;549;646;596;786;559;623;462;671;521;619;486;658;344;500;474;710;163;367
Humaitá;21;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;248;248;232;282;362;386;456;455;456;559;504;642;404;545;355;443;356;526;372;541;318;575;510;781;267;604
Ilha de Guaratiba;164;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;235;218;299;236;212;218;183;211;209;228;342;385;231;223;237;227;127;162;142;136;87;101;83;101;23;45
Imperial de São Cristóvão;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;759;716;889;849;839;963;924;966;966;1110;1010;1163;847;993;722;872;704;829;656;820;493;692;598;937;253;549
Inhaúma;54;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;1167;1160;1294;1316;1287;1337;1199;1423;1235;1458;1299;1460;1066;1343;1131;1301;1086;1246;996;1229;731;1162;924;1432;355;763
