bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;5 a 9 anos, Sexo masculino, alfabetizada;5 a 9 anos, Sexo feminino, alfabetizada;10 a 14 anos, Sexo masculino, alfabetizada;10 a 14 anos, Sexo feminino, alfabetizada;15 a 19 anos, Sexo masculino, alfabetizada;15 a 19 anos, Sexo feminino, alfabetizada;20 a 24 anos, Sexo masculino, alfabetizada;20 a 24 anos, Sexo feminino, alfabetizada;25 a 29 anos, Sexo masculino, alfabetizada;25 a 29 anos, Sexo feminino, alfabetizada;30 a 34 anos, Sexo masculino, alfabetizada;30 a 34 anos, Sexo feminino, alfabetizada;35 a 39 anos, Sexo masculino, alfabetizada;35 a 39 anos, Sexo feminino, alfabetizada;40 a 44 anos, Sexo masculino, alfabetizada;40 a 44 anos, Sexo feminino, alfabetizada;45 a 49 anos, Sexo masculino, alfabetizada;45 a 49 anos, Sexo feminino, alfabetizada;50 a 54 anos, Sexo masculino, alfabetizada;50 a 54 anos, Sexo feminino, alfabetizada;55 a 59 anos, Sexo masculino, alfabetizada;55 a 59 anos, Sexo feminino, alfabetizada;60 a 64 anos, Sexo masculino, alfabetizada;60 a 64 anos, Sexo feminino, alfabetizada;65 a 69 anos, Sexo masculino, alfabetizada;65 a 69 anos, Sexo feminino, alfabetizada;70 a 74 anos, Sexo masculino, alfabetizada;70 a 74 anos, Sexo feminino, alfabetizada;75 a 79 anos, Sexo masculino, alfabetizada;75 a 79 anos, Sexo feminino, alfabetizada;80 anos ou mais, Sexo masculino, alfabetizada;80 anos ou mais, Sexo feminino, alfabetizada
Pavuna;114;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;1197;1257;1744;1821;1640;1673;1600;1869;1736;1982;1835;2008;1611;1805;1477;1756;1426;1705;1329;1669;1202;1614;1061;1369;705;992;595;765;316;554;304;663
Pechincha;121;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;703;718;1022;967;943;1021;954;944;992;1169;999;1066;949;1063;891;1039;830;965;738;886;606;815;561;720;389;543;335;386;186;236;154;245
Pedra de Guaratiba;153;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;819;858;1181;1159;1202;1157;1080;1200;1140;1207;1066;1196;1046;1144;1020;1117;947;1129;894;1009;700;831;551;655;379;482;299;407;172;288;172;298
Penha;43;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;828;852;1304;1381;1183;1321;1241;1343;1199;1383;1129;1182;887;927;687;841;633;684;489;588;373;457;265;299;163;182;104;127;48;89;41;91
Penha Circular;44;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;389;407;595;611;601;597;531;562;570;595;490;545;515;527;472;524;441;503;347;447;314;365;238;246;147;190;108;134;69;76;49;107
Piedade;69;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;816;790;1302;1195;1196;1194;1121;1181;1162;1350;1167;1342;1149;1360;1043;1174;1020;1261;895;1160;818;1025;633;865;447;679;399;551;235;401;187;325
Pilares;71;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;929;862;1389;1436;1321;1336;1164;1261;1193;1222;1067;1179;907;1029;867;989;728;814;652;742;478;571;352;393;226;257;145;195;69;134;62;115
Pitangueiras;94;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;254;253;414;416;401;410;355;348;375;354;344;364;333;364;308;346;329;335;227;275;181;190;107;140;91;131;72;119;65;72;40;72
Portuguesa;103;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;2706;2798;4295;4152;3887;3846;3563;4024;3714;4267;3688;4211;3346;3876;3099;3521;2884;3227;2552;3118;2135;2601;1590;2023;1065;1486;843;1187;533;739;424;766
Praça da Bandeira;32;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;1160;1138;1661;1680;1551;1656;1778;1907;1728;1859;1619;1739;1367;1396;1212;1320;977;1158;947;1001;674;789;513;573;310;320;154;259;110;180;85;156
Praça Seca;124;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1993;1993;3133;3256;2926;3127;3229;3319;3239;3317;3002;3023;2503;2538;2185;2298;1769;1937;1389;1510;1080;1153;779;807;498;569;304;388;178;211;115;185
Praia da Bandeira;95;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;3561;3675;5780;5897;5476;5701;5966;6418;6404;6357;5869;5874;5034;4996;4038;4285;3229;3561;2603;2905;1915;1972;1190;1370;732;779;470;668;265;408;175;322
Quintino Bocaiúva;79;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;1134;1110;1827;1818;1756;1747;1924;1877;1990;1906;1722;1781;1439;1654;1322;1571;1310;1652;1235;1519;1020;1271;813;1118;558;794;455;759;301;532;243;510
Ramos;41;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;583;555;903;863;1014;861;1287;1053;1087;1099;906;1005;837;930;837;990;852;1039;813;998;640;707;401;553;294;427;240;417;234;336;203;327
Realengo;139;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;648;666;1042;974;1120;1052;1360;1071;1243;992;904;960;760;823;686;797;635;720;523;628;412;506;312;470;244;328;200;282;121;180;97;181
Recreio dos Bandeirantes;132;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1099;1144;1907;1879;2017;1864;1859;1888;1670;1740;1495;1722;1307;1553;1295;1448;1217;1337;1039;1230;853;1006;602;764;443;563;296;411;189;311;145;306
Riachuelo;59;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;533;477;810;767;844;847;924;905;942;1055;852;1072;823;959;841;995;832;962;786;944;701;821;533;661;406;469;279;409;183;289;154;328
Ribeira;91;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;799;832;1209;1183;1284;1226;1149;1331;1367;1337;1211;1314;1088;1193;1058;1261;1104;1211;920;1119;684;807;489;608;357;496;262;394;202;298;173;262
