bairro;codbnum;regiao_adm;codra;ra;rp;cod_rp;ap;area_plane;5 a 9 anos, Sexo masculino, alfabetizada;5 a 9 anos, Sexo feminino, alfabetizada;10 a 14 anos, Sexo masculino, alfabetizada;10 a 14 anos, Sexo feminino, alfabetizada;15 a 19 anos, Sexo masculino, alfabetizada;15 a 19 anos, Sexo feminino, alfabetizada;20 a 24 anos, Sexo masculino, alfabetizada;20 a 24 anos, Sexo feminino, alfabetizada;25 a 29 anos, Sexo masculino, alfabetizada;25 a 29 anos, Sexo feminino, alfabetizada;30 a 34 anos, Sexo masculino, alfabetizada;30 a 34 anos, Sexo feminino, alfabetizada;35 a 39 anos, Sexo masculino, alfabetizada;35 a 39 anos, Sexo feminino, alfabetizada;40 a 44 anos, Sexo masculino, alfabetizada;40 a 44 anos, Sexo feminino, alfabetizada;45 a 49 anos, Sexo masculino, alfabetizada;45 a 49 anos, Sexo feminino, alfabetizada;50 a 54 anos, Sexo masculino, alfabetizada;50 a 54 anos, Sexo feminino, alfabetizada;55 a 59 anos, Sexo masculino, alfabetizada;55 a 59 anos, Sexo feminino, alfabetizada;60 a 64 anos, Sexo masculino, alfabetizada;60 a 64 anos, Sexo feminino, alfabetizada;65 a 69 anos, Sexo masculino, alfabetizada;65 a 69 anos, Sexo feminino, alfabetizada;70 a 74 anos, Sexo masculino, alfabetizada;70 a 74 anos, Sexo feminino, alfabetizada;75 a 79 anos, Sexo masculino, alfabetizada;75 a 79 anos, Sexo feminino, alfabetizada;80 anos ou mais, Sexo masculino, alfabetizada;80 anos ou mais, Sexo feminino, alfabetizada
Abolição;70;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;352;316;461;460;453;450;505;531;536;560;500;594;441;492;410;446;367;405;322;400;306;356;195;246;129;171;105;162;77;121;61;158
Acari;111;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;66;59;102;99;86;65;147;102;182;147;127;156;108;88;103;94;85;81;75;85;64;82;54;53;39;40;22;35;25;20;21;54
Água Santa;67;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;493;556;819;826;955;992;1519;1486;2051;2067;1875;1732;1581;1516;1462;1512;1550;1590;1401;1687;1272;1565;975;1366;710;1109;615;975;460;788;462;931
Alto da Boa Vista;34;TIJUCA;8;VIII Tijuca;Tijuca;2.2;Área de Planejamento 2;2;320;297;504;506;482;472;489;503;469;549;487;546;398;437;360;423;357;425;321;405;265;334;202;241;143;216;122;193;81;147;86;186
Anchieta;107;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;107;102;193;190;191;193;214;206;256;231;259;244;192;203;166;182;163;155;174;177;124;164;96;118;64;105;60;86;41;66;45;66
Andaraí;37;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;430;433;609;614;635;652;696;759;739;795;731;705;584;632;515;624;498;614;456;551;346;458;288;385;216;317;154;239;108;198;112;222
Anil;116;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1020;966;1544;1487;1600;1630;1801;1957;1801;1977;1736;1915;1386;1679;1301;1593;1284;1649;1208;1501;937;1303;717;1001;511;757;412;607;276;539;335;834
Bancários;97;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;600;599;931;938;850;871;1097;1060;1223;1186;1139;1107;941;954;816;849;752;806;653;707;514;631;374;493;275;327;186;318;124;239;123;249
Bangu;141;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;508;499;849;870;751;772;758;876;752;873;623;700;511;582;499;561;423;527;369;490;297;381;204;245;103;167;109;118;57;89;46;85
Barra da Tijuca;128;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;530;503;836;760;875;856;1199;1032;1335;1104;1207;1009;960;948;858;914;851;946;825;903;641;755;490;651;349;463;258;420;210;360;228;479
Barra de Guaratiba;152;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;92;70;110;101;125;104;99;109;102;100;106;104;83;87;97;111;96;114;123;129;94;121;92;101;63;95;57;76;44;62;48;92
Barros Filho;112;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;911;879;1363;1358;1314;1399;1712;1823;1966;2121;1941;1933;1684;1792;1453;1568;1265;1479;1160;1432;867;1255;716;924;442;593;377;490;239;404;253;594
Benfica;12;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;1304;1279;1680;1700;2167;2055;2982;3165;3894;4191;3597;4097;2912;3294;2426;3096;2786;3491;2502;3398;2256;3131;1803;2593;1319;2065;1080;1869;886;1661;1110;2676
Bento Ribeiro;89;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;386;394;535;567;602;632;861;853;1123;1169;1023;1130;800;959;724;847;774;937;689;900;590;904;475;792;372;638;333;609;273;554;336;774
Bonsucesso;40;RAMOS;10;X Ramos;Ramos;3.1;Área de Planejamento 3;3;155;141;251;248;235;259;270;297;279;308;232;303;249;238;192;265;205;302;233;286;178;234;160;198;118;115;67;99;72;82;65;130
Botafogo;20;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;558;516;807;842;967;1033;1589;1664;2243;2466;1871;2271;1457;1691;1309;1695;1578;2022;1493;2112;1422;2115;1222;2022;984;1686;891;1694;832;1569;1066;2510
Brás de Pina;45;PENHA;11;XI Penha;Penha;3.5;Área de Planejamento 3;3;90;100;169;165;182;223;326;339;477;459;431;423;298;329;301;350;382;408;356;456;276;413;233;334;168;280;173;275;123;227;142;357
Cachambi;65;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;187;193;224;235;286;272;377;444;525;649;573;689;454;575;406;471;426;576;455;634;414;626;334;503;245;335;179;337;157;287;163;458
Cacuia;93;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;732;725;1024;989;1157;1105;1432;1505;1903;2074;1748;1961;1479;1749;1384;1712;1596;2000;1436;1902;1255;1917;1036;1646;800;1193;676;1140;529;1004;700;1699
Caju;4;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;161;164;230;205;235;215;306;206;234;251;178;291;343;359;284;320;281;259;196;254;165;238;149;193;109;152;88;119;85;110;97;206
Camorim;129;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1824;1649;2496;2400;3016;3199;4696;5027;6029;6525;5371;5906;4280;4909;3939;4779;4413;5449;4356;6137;4137;6371;3584;5848;2996;4941;2702;4973;2270;4533;3110;8036
Campinho;78;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;218;213;335;390;367;342;456;530;578;710;566;669;439;518;421;466;453;528;410;532;395;575;353;537;304;439;250;354;186;321;261;633
Campo dos Afonsos;136;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;229;275;359;361;423;419;596;612;666;710;609;728;518;581;437;607;471;662;513;739;482;702;434;624;296;436;241;321;164;287;201;465
Campo Grande;144;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;635;629;881;845;975;935;1210;1296;1487;1661;1514;1709;1309;1583;1254;1478;1429;1703;1304;1727;1221;1828;1165;1615;857;1330;793;1209;682;1201;1010;2134
Cascadura;82;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;324;358;439;441;473;445;497;538;673;714;730;852;605;752;577;732;660;807;586;758;536;779;454;603;344;453;226;380;194;306;224;528
Catete;18;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;356;346;484;454;515;514;664;650;642;793;788;925;725;921;669;813;722;958;822;944;662;1002;721;781;491;560;358;373;247;312;271;542
Catumbi;6;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;730;681;945;888;1071;1028;1246;1303;1471;1788;1624;1863;1484;1774;1378;1652;1481;1854;1521;2008;1392;1963;1276;1847;1097;1570;879;1275;759;1170;969;2038
Cavalcanti;80;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;209;231;311;340;305;337;354;399;384;414;333;433;356;431;352;468;334;492;375;485;329;449;331;409;268;277;150;206;145;157;148;238
Centro;5;CENTRO;2;II Centro;Centro;1.1;Área de Planejamento 1;1;326;321;565;560;512;546;570;573;550;586;526;607;479;543;416;438;334;424;283;384;237;285;176;189;96;120;71;87;31;57;30;62
Cidade de Deus;118;CIDADE DE DEUS;34;XXXIV Cidade de Deus;Jacarepaguá;4.1;Área de Planejamento 4;4;227;248;362;329;322;305;353;343;327;372;325;361;309;332;283;310;327;365;312;364;258;276;194;231;144;176;118;143;98;131;95;172
Cidade Nova;8;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;156;149;205;215;228;252;296;322;365;399;315;349;272;338;292;328;287;356;288;352;202;356;195;301;141;246;141;217;91;203;91;280
Cidade Universitária;105;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;2792;2785;4149;4157;4620;4742;5497;5887;6356;7122;5658;6313;4937;5975;4638;5789;5114;6650;5023;6732;4358;6366;3713;5458;2817;4480;2602;4300;2064;3974;2680;6535
Cocotá;96;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;732;694;1044;1127;1236;1215;1401;1436;1568;1734;1429;1649;1186;1420;1145;1378;1188;1564;1227;1759;1063;1549;817;1287;606;930;491;890;398;793;469;1141
Coelho Neto;110;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;764;789;1047;1030;1095;1112;1357;1351;1501;1613;1386;1600;1257;1548;1151;1397;1219;1563;1232;1599;1031;1469;808;1185;621;933;528;857;417;808;492;1234
Colégio;77;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;388;374;552;552;657;661;989;1020;1195;1226;938;985;710;894;701;903;851;1098;877;1164;759;1075;583;831;399;682;348;622;302;582;333;877
Complexo do Alemão;156;COMPLEXO DO ALEMÃO;29;XXIX Complexo do Alemão;Inhaúma;3.4;Área de Planejamento 3;3;1687;1662;2595;2525;2649;2809;3000;3302;3574;4002;3030;3742;2719;3356;2469;3119;2559;3321;2531;3340;2142;3085;1734;2563;1267;2060;1078;1796;876;1631;981;2220
Copacabana;24;COPACABANA;5;V Copacabana;Zona Sul;2.1;Área de Planejamento 2;2;1899;2021;2796;2815;2925;3058;3898;3800;3935;3856;3468;3317;2593;2592;2006;2223;1554;1771;1303;1455;869;1037;613;712;316;421;202;259;113;170;78;148
Cordovil;46;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;372;376;550;547;622;608;673;719;747;803;678;767;566;637;625;670;547;753;596;759;481;626;400;544;280;368;269;421;171;337;202;433
Cosme Velho;19;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;1073;1097;1808;1869;1453;1621;1510;1742;1513;1831;1662;1784;1378;1402;1065;1159;794;960;712;735;494;545;327;345;179;229;124;150;55;112;45;102
Cosmos;147;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;1308;1303;1935;1857;1890;1862;2002;2108;2211;2298;2123;2402;1906;2244;1904;2157;1761;2199;1717;2046;1429;1970;1190;1788;1035;1492;816;1194;526;880;483;1083
Costa Barros;113;PAVUNA;25;XXV Pavuna;Pavuna;3.6;Área de Planejamento 3;3;954;924;1418;1355;1389;1351;1483;1525;1649;1764;1604;1775;1471;1607;1395;1555;1303;1537;1238;1530;1031;1250;714;1051;604;850;455;785;341;633;335;736
Curicica;119;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1459;1453;2126;2140;2379;2154;2460;2370;2378;2486;2197;2468;1936;2148;2019;2237;1926;2344;1752;2074;1469;1769;1078;1472;810;1174;668;1023;408;807;418;816
Del Castilho;53;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;1860;1889;2861;2892;3853;3053;4734;3617;3706;3431;3101;3236;2412;2711;2189;2632;2160;2623;1988;2513;1651;2117;1273;1724;927;1330;708;1122;512;832;436;1014
Deodoro;134;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;1128;1121;1750;1619;2101;1640;2092;1853;1991;1971;1788;1979;1470;1649;1395;1575;1402;1799;1368;1718;1171;1539;887;1279;670;1024;565;897;419;693;376;812
Encantado;68;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;373;337;531;531;539;553;610;594;639;701;630;642;481;612;447;530;464;576;459;519;383;501;292;464;221;346;194;311;136;234;129;292
Engenheiro Leal;81;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;717;669;1070;1008;971;949;926;993;1063;1238;1131;1171;883;1051;798;933;778;973;744;963;641;873;464;668;351;561;259;443;217;339;170;361
Engenho da Rainha;55;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;332;301;500;463;465;499;589;625;657;764;598;638;546;620;514;601;506;615;514;690;441;514;332;415;233;316;194;332;144;232;153;274
Engenho de Dentro;66;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;1372;1425;1768;1845;1579;1734;1654;1792;1802;2022;1733;2002;1495;1667;1372;1489;1367;1693;1212;1549;1061;1355;847;1072;634;826;438;641;315;565;290;602
Engenho Novo;61;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;163;158;236;231;231;224;264;259;321;371;323;365;249;310;291;270;263;309;246;319;220;300;182;222;124;165;134;170;93;148;88;173
Estácio;9;RIO COMPRIDO;3;III Rio Comprido;Centro;1.1;Área de Planejamento 1;1;628;671;872;894;840;893;889;913;912;1045;911;1005;771;888;711;837;641;777;567;716;478;708;386;522;296;371;209;294;135;217;135;250
Flamengo;15;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;203;214;307;321;342;316;401;423;469;469;394;461;339;390;303;387;363;498;395;521;316;444;288;388;173;291;162;282;109;246;119;292
Freguesia (Ilha);98;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;183;207;265;246;322;244;459;299;596;353;505;353;381;306;365;292;316;301;299;260;197;261;177;177;105;137;74;119;52;87;58;100
Freguesia (Jacarepaguá);120;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;880;853;1256;1215;1245;1240;1402;1553;1628;1825;1664;1856;1534;1750;1441;1657;1384;1687;1332;1795;1158;1584;895;1283;679;1010;585;919;423;797;445;980
Galeão;104;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;292;298;524;444;496;505;618;585;590;657;548;603;488;550;451;567;509;595;486;623;403;522;283;451;208;363;203;303;135;238;126;277
Gamboa;2;PORTUARIA;1;I Portuária;Centro;1.1;Área de Planejamento 1;1;972;970;1439;1422;1535;1438;1655;1680;1837;1856;1664;1894;1433;1699;1396;1632;1426;1803;1416;1814;1168;1626;880;1332;664;1017;576;995;435;757;444;994
Gardênia Azul;117;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;933;948;1497;1474;1449;1539;1536;1738;1720;1844;1596;1825;1357;1701;1303;1654;1341;1617;1213;1639;1023;1364;738;1071;545;769;423;718;281;563;308;731
Gávea;29;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;264;267;387;390;369;345;343;369;373;413;383;408;289;320;274;317;259;320;260;286;186;245;178;201;78;114;83;128;68;104;63;131
Gericinó;160;BANGU;17;XVII Bangu;Bangu;5.1;Área de Planejamento 5;5;874;790;1279;1289;1252;1285;1297;1456;1497;1678;1420;1460;1241;1492;1286;1437;1242;1501;1194;1370;801;1144;609;914;461;776;490;667;359;515;333;614
Glória;16;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;734;753;1200;1055;1318;1358;1663;1749;1907;2027;1640;1801;1433;1666;1325;1741;1588;2252;1668;2306;1562;2236;1241;1870;900;1543;848;1513;708;1308;800;1801
Grajaú;38;VILA ISABEL;9;IX Vila Isabel;Tijuca;2.2;Área de Planejamento 2;2;1047;955;1405;1392;1471;1509;1652;1659;1656;1806;1599;1714;1398;1637;1361;1620;1500;1729;1421;1656;1076;1450;795;1184;651;986;557;822;349;686;397;863
Grumari;133;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;687;673;947;952;948;955;999;1024;1003;1229;940;1077;875;1018;831;1008;892;1082;882;1092;631;915;544;708;327;562;315;536;261;531;266;526
Guadalupe;106;ANCHIETA;22;XXII Anchieta;Pavuna;3.6;Área de Planejamento 3;3;234;220;338;335;365;366;437;471;503;531;502;499;383;467;380;510;388;561;427;547;388;481;290;424;199;280;171;286;149;240;148;324
Guaratiba;151;GUARATIBA;26;XXVI Guaratiba;Guaratiba;5.4;Área de Planejamento 5;5;161;171;308;239;272;266;297;309;350;341;327;363;337;352;305;318;331;366;295;387;233;313;187;283;134;205;109;173;90;162;90;215
Higienópolis;50;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;299;284;413;414;406;444;442;519;488;517;414;489;370;427;329;398;321;375;274;332;205;297;174;223;143;166;75;129;57;104;55;121
Honório Gurgel;87;MADUREIRA;15;XV Madureira;Madureira;3.3;Área de Planejamento 3;3;198;180;345;293;296;274;367;382;407;391;321;353;274;304;231;291;271;301;238;299;193;249;157;178;111;143;72;120;57;90;54;141
Humaitá;21;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;417;469;711;657;683;718;801;835;925;1034;887;1026;854;1004;775;999;881;1128;849;1125;693;1013;550;847;411;583;340;539;272;474;272;597
Imperial de São Cristóvão;10;SAO CRISTOVAO;7;VII São Cristóvão;Centro;1.1;Área de Planejamento 1;1;1082;1060;1527;1499;1430;1530;1866;1936;2008;2097;1948;2073;1547;1700;1294;1382;1027;1098;800;833;586;623;397;418;247;271;132;184;99;131;55;134
Inhaúma;54;INHAUMA;12;XII Inhaúma;Inhaúma;3.4;Área de Planejamento 3;3;819;850;1180;1193;1059;1107;1134;1335;1203;1333;1106;1223;988;1135;927;1080;896;1027;782;960;647;828;448;543;331;437;212;327;147;219;131;254
Inhoaíba;146;CAMPO GRANDE;18;XVIII Campo Grande;Campo Grande;5.2;Área de Planejamento 5;5;2147;2171;3131;2989;3190;3093;3485;3524;3759;4105;3505;3910;3077;3584;2950;3544;3139;3850;3099;3998;2611;3719;2168;3096;1568;2322;1270;1977;867;1518;804;1777
Ipanema;25;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;659;644;1032;994;982;1000;909;953;1008;1100;913;1051;847;887;778;870;756;891;693;864;543;672;411;554;323;439;241;384;157;305;121;276
Irajá;76;IRAJA;14;XIV Irajá;Madureira;3.3;Área de Planejamento 3;3;384;412;583;591;663;698;726;747;688;721;597;651;529;634;532;705;665;835;668;847;498;682;308;457;202;338;178;371;161;341;233;402
Itanhangá;127;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;505;493;652;646;649;765;854;867;981;1067;858;1044;790;991;795;1009;871;1108;845;1126;801;1089;607;899;482;768;408;602;292;463;252;509
Jacaré;51;MEIER;13;XIII Méier;Méier;3.2;Área de Planejamento 3;3;162;159;259;239;287;273;277;307;310;360;289;335;243;293;264;334;321;365;302;402;276;384;195;238;135;226;114;199;93;176;112;205
Jacarepaguá;115;JACAREPAGUA;16;XVI Jacarepaguá;Jacarepaguá;4.1;Área de Planejamento 4;4;1002;951;1473;1473;1553;1491;1590;1679;1699;1713;1556;1710;1380;1598;1326;1675;1407;1863;1474;1790;1109;1495;954;1279;644;1036;592;938;419;699;333;768
Jacarezinho;155;JACAREZINHO;28;XXVIII Jacarezinho;Méier;3.2;Área de Planejamento 3;3;647;664;899;905;767;865;1021;1067;967;962;804;851;693;749;605;685;504;618;383;448;321;392;248;289;149;212;131;153;74;122;90;196
Jardim América;49;VIGARIO GERAL;31;XXXI Vigário Geral;Penha;3.5;Área de Planejamento 3;3;246;245;333;382;340;360;346;378;353;444;395;487;327;443;330;355;299;373;282;328;251;319;181;275;126;233;103;191;86;160;98;192
Jardim Botânico;28;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;867;779;1225;1260;1228;1254;1272;1349;1396;1469;1206;1427;1113;1257;961;1172;1042;1292;985;1250;840;1110;642;872;479;694;392;597;259;507;291;597
Jardim Carioca;100;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;423;395;629;653;623;602;604;677;648;654;579;658;510;636;578;577;487;582;460;527;380;439;302;400;250;297;196;252;110;189;81;204
Jardim Guanabara;99;ILHA DO GOVERNADOR;20;XX Ilha do Governador;Ilha do Governador;3.7;Área de Planejamento 3;3;151;170;224;261;240;262;231;299;246;289;247;256;199;219;188;232;219;203;172;228;139;145;87;108;71;102;68;88;42;65;19;51
Jardim Sulacap;137;REALENGO;33;XXXIII Realengo;Bangu;5.1;Área de Planejamento 5;5;611;574;861;878;842;864;834;848;857;946;769;904;724;836;694;764;644;837;602;762;500;655;463;544;307;410;198;310;137;227;137;290
Joá;126;BARRA DA TIJUCA;24;XXIV Barra da Tijuca;Barra da Tijuca;4.2;Área de Planejamento 4;4;1316;1263;1754;1818;1809;1758;1964;1987;1913;2152;1805;2055;1643;1837;1503;1754;1519;1855;1603;1987;1209;1683;934;1360;660;1036;594;982;404;831;400;820
Lagoa;27;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;1299;1228;1831;1768;1819;1778;1836;1907;1925;1971;1700;1869;1569;1765;1482;1710;1495;1887;1516;1778;1191;1525;867;1184;673;956;525;812;333;567;309;679
Laranjeiras;17;BOTAFOGO;4;IV Botafogo;Zona Sul;2.1;Área de Planejamento 2;2;742;774;1203;1255;1207;1162;1274;1243;1298;1340;1199;1302;1076;1264;1060;1290;1127;1373;1091;1390;916;1255;722;995;491;812;416;764;314;522;257;550
Leblon;26;LAGOA;6;VI Lagoa;Zona Sul;2.1;Área de Planejamento 2;2;739;718;1062;1102;1067;999;1158;1201;1270;1373;1103;1261;1089;1192;963;1175;976;1200;949;1264;748;1073;648;821;468;704;360;603;259;477;237;566
